ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	PP_INST_DT	Type	BreakYear	BreakDate	ValidBreak	FailureNotes	Failure_ID	BreakAge
5806	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5807	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5808	6	Cast Iron	1929	Cast Iron	1929	6	1	1929-08-30 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5809	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5810	6	Cast Iron	1931	Cast Iron	1931	6	1	1931-07-15 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5811	6	Cast Iron	1929	Cast Iron	1929	6	1	1929-08-30 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5812	6	Cast Iron	1905	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5813	6	Cast Iron	1920	unknown	NULL	6	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5814	6	Cast Iron	1929	Cast Iron	1929	6	1	1929-08-30 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5815	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5816	8	Ductile Iron	1983	Cast Iron	1983	8	1	1983-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5817	8	Ductile Iron	1983	Cast Iron	1983	8	1	1983-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5818	3	Cast Iron	1900	unknown	NULL	3	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5819	6	Cast Iron	1900	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5820	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5821	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5822	6	Cast Iron	1932	unknown	NULL	6	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5823	6	Cast Iron	1932	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5824	6	Cast Iron	1947	Cast Iron	1947	6	1	1947-06-24 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
