ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
119	8	CI	1966	CI	1966	8	1	1966-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
120	8	CI	1960	CI	1960	8	1	1960-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
121	8	CI	1960	CI	1960	8	1	1960-06-19 00:00:00.0000000	2017	2017-07-10 08:54:55.000	2503	57
122	8	CI	1950	CI	1950	8	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
123	2	CI	1961	CI	1961	2	1	1961-06-14 00:00:00.0000000	2021	2021-05-27 10:32:39.000	2935	60
124	2	DI	1960	VCT	1955	2	1	1955-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
125	6	CI	1950	CI	1950	6	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
126	8	PVC	1996	PVC	1996	8	1	1996-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
127	6	PVC	1985	PVC	1985	6	1	1985-07-12 00:00:00.0000000	2017	2017-09-19 07:21:22.000	2649	32
128	6	CI	1978	CI	1978	6	1	1978-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
129	6	CI	1966	CI	1966	6	1	1966-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
130	6	CI	1972	CI	1972	6	1	1972-07-15 00:00:00.0000000	NULL	NULL	NULL	NULL
131	6	CI	1963	CI	1963	6	1	1963-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
132	6	CI	1972	CI	1972	6	1	1972-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
133	6	PVC	1993	PVC	1993	6	1	1993-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL
134	6	CI	1965	CI	1965	6	1	1965-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
135	6	CI	1965	CI	1965	6	1	1965-01-01 00:00:00.0000000	2017	2017-03-02 07:50:26.000	1732	52
136	8	PVC	1986	PVC	1986	8	1	1986-05-12 00:00:00.0000000	NULL	NULL	NULL	NULL
137	8	PVC	1991	PVC	1991	8	1	1991-01-07 00:00:00.0000000	NULL	NULL	NULL	NULL
138	12	PVC	1986	PVC	1986	12	1	1986-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
139	6	PVC	1982	PVC	1982	6	1	1982-01-25 00:00:00.0000000	NULL	NULL	NULL	NULL
140	6	PVC	1982	PVC	1982	6	1	1982-01-25 00:00:00.0000000	NULL	NULL	NULL	NULL
141	6	CI	1970	CI	1970	6	1	1970-10-20 00:00:00.0000000	NULL	NULL	NULL	NULL
142	2	CI	1970	CI	1970	2	1	1970-06-28 00:00:00.0000000	2014	2014-11-06 15:51:51.000	1733	44
142	2	CI	1970	CI	1970	2	1	1970-06-28 00:00:00.0000000	2017	2017-11-28 07:51:00.000	1734	47
142	2	CI	1970	CI	1970	2	1	1970-06-28 00:00:00.0000000	2018	2018-08-02 09:26:45.000	1735	48
142	2	CI	1970	CI	1970	2	1	1970-06-28 00:00:00.0000000	2012	2012-12-23 20:22:05.000	1736	42
143	6	PVC	1987	PVC	1987	6	1	1987-06-15 00:00:00.0000000	NULL	NULL	NULL	NULL
144	6	PVC	1987	PVC	1987	6	1	1987-06-15 00:00:00.0000000	NULL	NULL	NULL	NULL
145	6	PVC	1985	PVC	1985	6	1	1985-08-09 00:00:00.0000000	NULL	NULL	NULL	NULL
146	6	PVC	1987	PVC	1987	6	1	1987-02-25 00:00:00.0000000	NULL	NULL	NULL	NULL
147	12	CI	1970	CI	1970	12	1	1970-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
148	2	GS	1966	GS	1966	2	1	1966-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
