ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
60044	10	DI	1971	DI	1971	10	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60045	10	DI	1971	DI	1971	10	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60046	6	DI	1971	DI	1971	6	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60047	8	CI	1932	CI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60048	8	CI	1932	CI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60049	6	DI	1999	DI	1999	6	0	1999-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60050	6	DI	1999	DI	1999	6	0	1999-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60051	10	DI	1971	DI	1971	10	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60052	6	CI	1905	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60053	6	CI	1905	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60054	8	DI	1970	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60055	6	DI	1970	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60056	6	DI	1970	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60057	6	DI	1979	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60058	6	DI	1979	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60059	6	CI	1966	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60060	6	CI	1966	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60061	6	CI	1966	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60062	6	CI	1952	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60063	6	CI	1928	CI	1928	6	0	1928-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60064	6	CI	1904	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60065	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60066	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60067	4	CI	1885	CI	NULL	4	1	NULL	NULL	NULL	NULL	NULL
60068	3	CI	1960	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60069	6	CI	1960	CI	1960	6	0	1960-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60070	6	CI	1960	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60071	6	CI	1960	CI	1960	6	0	1960-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60072	6	CI	1960	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60073	4	CI	1960	CI	NULL	4	0	NULL	2013	2013-01-20 00:00:00.000	5026	53
60074	6	CI	1960	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60075	6	CI	1960	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60076	3	CI	1960	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60077	6	CI	1960	CI	1960	6	0	1960-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60078	6	CI	1960	CI	1960	6	0	1960-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60079	3	CI	1960	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60080	3	CI	1960	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60081	3	CI	1960	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60082	6	CI	1960	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60083	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60084	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60085	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60086	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60087	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60088	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60089	6	CI	1908	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60090	6	CI	1908	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60091	6	CI	1899	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
60092	6	CI	1920	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60093	6	CI	1920	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60094	6	CI	1925	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60095	6	CI	1925	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60096	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60097	6	CI	1900	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60098	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60099	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60100	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60101	6	CI	1900	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
