ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
67735	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67736	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67737	6	AC	1954	AC	6	1	1954	NULL	NULL	NULL	NULL
67743	8	CI	1955	CI	8	1	1955	NULL	NULL	NULL	NULL
67757	8	CI	1947	CI	8	1	1947	NULL	NULL	NULL	NULL
67760	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67761	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
67762	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
67767	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67768	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67770	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67772	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67774	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67775	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67776	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67778	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67779	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67780	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67782	8	DI	1965	DI	8	1	NULL	NULL	NULL	NULL	NULL
67784	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
67786	4	DI	1965	DI	4	1	NULL	NULL	NULL	NULL	NULL
67787	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67788	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67791	6	CI	1953	CI	6	1	1953	NULL	NULL	NULL	NULL
67792	6	DI	1999	CI	6	1	1999	NULL	NULL	NULL	NULL
67793	6	AC	1955	AC	6	1	1955	NULL	NULL	NULL	NULL
67794	6	DI	1999	CI	6	1	1999	NULL	NULL	NULL	NULL
67795	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
