ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
43678	2	PE	2021	PE	2021	2	0	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43679	4	PVC	2021	PVC	2021	4	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43681	6	DI	2021	DI	2021	6	0	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43686	12	DI	2021	DI	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43697	12	PVC	2021	PVC	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43698	6	CI	1944	CI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43700	8	DI	2021	DI	2021	8	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43713	12	PVC	2021	PVC	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44050	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44056	12	PVC	2018	PVC	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44059	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44081	12	PVC	2018	PVC	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44087	12	DI	2018	DI	2018	12	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44105	12	PVC	2017	PVC	2017	12	1	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44106	6	DI	2017	DI	2017	6	0	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44110	8	PVC	2017	PVC	2017	8	1	2017-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44111	8	PVC	2021	PVC	2021	8	1	2021-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44124	6	DI	2018	DI	2018	6	1	2018-01-10 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44132	8	DI	2018	DI	2018	8	1	2018-01-10 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44139	6	DI	2018	DI	2018	6	0	2018-01-10 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44153	8	DI	2018	DI	2018	8	1	2018-01-10 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44158	2	CU	2017	CU	2017	2	0	2017-12-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44166	6	DI	2021	DI	2021	6	0	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44170	8	PVC	2021	PVC	2021	8	1	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44177	6	DI	2021	DI	2021	6	0	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44211	8	PVC	2021	PVC	2021	8	1	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44221	8	PVC	2021	PVC	2021	8	1	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
44224	8	PVC	2021	PVC	2021	8	1	2021-10-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42515	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42517	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42522	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42525	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42536	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42537	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42541	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42542	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42548	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42557	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42564	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42567	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42574	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42582	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
